text,left,top,width,height,confidence,level,page_num,block_num,par_num,line_num,word_num
DIAGNOSTIC,184,60,256,31,96.0,5,1,1,1,1,1
REPORT,457,60,170,31,96.0,5,1,1,1,1,2
a,2110,87,10,12,31.0,5,1,1,1,1,3
SSS,1418,116,126,27,52.0,5,1,1,1,2,1
(em,1596,117,89,21,51.0,5,1,1,1,2,2
NRE,1434,132,113,51,38.0,5,1,1,1,3,1
(Ss;,1571,113,117,80,46.0,5,1,1,1,3,2
Nz,2101,142,53,29,65.0,5,1,1,1,3,3
thaws,1432,193,97,39,41.0,5,1,1,1,4,1
LPS,1585,207,91,22,54.0,5,1,1,1,4,2
Diagnostics,2098,191,298,59,96.0,5,1,1,1,4,3
MC-3003,1561,248,110,20,92.0,5,1,1,1,5,1
PATIENT,168,328,162,24,95.0,5,1,1,1,6,1
NAME,345,328,104,24,79.0,5,1,1,1,6,2
:,465,334,7,18,79.0,5,1,1,1,6,3
N,501,328,22,24,88.0,5,1,1,1,6,4
PRABHAKAR,541,327,230,25,96.0,5,1,1,1,6,5
REF.,1444,328,77,24,96.0,5,1,1,1,6,6
DOCTOR:,1538,327,155,26,95.0,5,1,1,1,6,7
SELF,1737,327,75,24,96.0,5,1,1,1,6,8
CODE/NAME,167,380,202,27,92.0,5,1,1,1,7,1
&,382,380,24,22,92.0,5,1,1,1,7,2
ADDRESS,416,380,154,22,91.0,5,1,1,1,7,3
:,593,386,6,16,40.0,5,1,1,1,7,4
CQ00138482,610,381,211,26,40.0,5,1,1,1,7,5
ACCESSION,1073,384,181,34,39.0,5,1,1,1,7,6
NO,1269,388,41,23,93.0,5,1,1,1,7,7
:,1327,394,4,16,91.0,5,1,1,1,7,8
0042WD000493,1345,384,298,26,74.0,5,1,1,1,7,9
}AGE/SEX,1747,384,144,34,26.0,5,1,1,1,7,10
:70,1938,383,52,26,62.0,5,1,1,1,7,11
Years,2004,383,90,26,96.0,5,1,1,1,7,12
Male,2188,382,73,27,96.0,5,1,1,1,7,13
RELEX,168,428,102,25,91.0,5,1,1,1,8,1
HEALTHCARE,287,428,215,26,96.0,5,1,1,1,8,2
SERVICES,516,428,168,26,96.0,5,1,1,1,8,3
INDIA,699,428,100,25,96.0,5,1,1,1,8,4
PVT,814,428,61,25,95.0,5,1,1,1,8,5
LTD,885,428,56,25,95.0,5,1,1,1,8,6
IPATIENTID,1073,434,171,34,44.0,5,1,1,1,8,7
NPRAM04045342,1346,446,284,26,76.0,5,1,1,1,8,9
00:00:00,2163,440,153,26,96.0,5,1,1,1,8,12
PLOT,168,475,83,26,93.0,5,1,1,1,9,1
"63/A,",265,475,88,31,91.0,5,1,1,1,9,2
GROUND,369,475,147,26,96.0,5,1,1,1,9,3
"FLOOR,",533,475,117,31,93.0,5,1,1,1,9,4
RAGHAVENDRA,670,475,257,26,91.0,5,1,1,1,9,5
i,1073,471,4,34,94.0,5,1,1,1,9,6
i,1747,471,4,34,94.0,5,1,1,1,9,7
NILAYARL,168,470,158,81,1.0,5,1,1,1,10,1
7TH,344,516,58,25,74.0,5,1,1,1,10,2
"PHASE,KPHB",423,516,211,31,91.0,5,1,1,1,10,3
"COLONY,HYDERABAD",649,516,358,31,92.0,5,1,1,1,10,4
}CLIENT,1073,503,115,40,39.0,5,1,1,1,10,5
PATIENT,1197,495,111,52,96.0,5,1,1,1,10,6
ID:,1320,503,48,22,96.0,5,1,1,1,10,7
},1747,509,4,34,68.0,5,1,1,1,10,8
RECEIVED,1773,503,136,23,95.0,5,1,1,1,10,9
04/04/2023,1936,498,211,31,15.0,5,1,1,1,10,10
12:21:57,2165,499,152,26,96.0,5,1,1,1,10,11
HYDERABAD,168,564,205,25,96.0,5,1,1,1,11,1
500072,390,564,123,26,96.0,5,1,1,1,11,2
{ABHA,1073,546,89,47,60.0,5,1,1,1,11,3
NO,1175,552,41,23,94.0,5,1,1,1,11,4
:,1325,558,4,16,92.0,5,1,1,1,11,5
{,1747,546,4,47,4.0,5,1,1,1,11,6
REPORTED,1775,542,139,55,96.0,5,1,1,1,11,7
:04/04/2023,1940,551,207,31,64.0,5,1,1,1,11,8
14:51:43,2165,552,151,26,96.0,5,1,1,1,11,9
