text,left,top,width,height,confidence,level,page_num,block_num,par_num,line_num,word_num
PROCESSED,293,89,226,27,96.0,5,1,1,1,1,1
AT:,533,90,72,25,95.0,5,1,1,1,1,2
Thyrocare,293,128,192,33,91.0,5,1,1,1,2,1
Thyro,1883,97,264,99,73.0,5,1,1,1,2,2
care,2159,122,165,52,93.0,5,1,1,1,2,3
Samanvitha,294,178,201,27,90.0,5,1,1,1,3,1
"Complex,",512,177,157,34,91.0,5,1,1,1,3,2
"No.12,13",688,178,153,33,91.0,5,1,1,1,3,3
i,1883,171,60,42,12.0,5,1,1,1,3,4
and,294,228,60,27,96.0,5,1,1,1,4,1
"14,",373,229,49,32,95.0,5,1,1,1,4,2
The,1887,229,78,37,96.0,5,1,1,1,4,3
Trust.,1981,230,122,36,96.0,5,1,1,1,4,4
The,2121,229,78,37,96.0,5,1,1,1,4,5
Truth.,2215,229,126,37,96.0,5,1,1,1,4,6
Mayura,296,279,120,32,92.0,5,1,1,1,5,1
"Street,Outer",433,278,214,33,91.0,5,1,1,1,5,2
Ring,662,278,70,33,96.0,5,1,1,1,5,3
"Road,",750,278,93,33,96.0,5,1,1,1,5,4
"Hebbal,",296,327,125,34,93.0,5,1,1,1,6,1
Bangalore-560095,439,328,322,33,91.0,5,1,1,1,6,2
Corporate,549,394,143,31,96.0,5,1,1,1,7,2
office,702,393,76,32,91.0,5,1,1,1,7,3
:,794,402,1,17,51.0,5,1,1,1,7,4
Thyrocare,812,393,142,32,92.0,5,1,1,1,7,5
Technologies,964,393,185,32,96.0,5,1,1,1,7,6
"Limited,",1159,393,114,31,96.0,5,1,1,1,7,7
9,1289,387,23,34,91.0,5,1,1,1,7,8
"D-37/3,",1325,392,103,32,91.0,5,1,1,1,7,9
TTC,1438,394,50,25,89.0,5,1,1,1,7,10
"MIDC,",1500,394,82,28,93.0,5,1,1,1,7,11
"Turbhe,",1594,393,104,29,93.0,5,1,1,1,7,12
Navi,1710,394,59,25,95.0,5,1,1,1,7,13
Mumbai,1781,393,113,26,73.0,5,1,1,1,7,14
-,1907,408,6,4,92.0,5,1,1,1,7,15
400,1924,394,52,25,96.0,5,1,1,1,7,16
703,1987,394,48,25,96.0,5,1,1,1,7,17
;,2305,414,2,2,54.0,5,1,1,1,7,18
@,311,443,101,77,81.0,5,1,1,1,8,1
©,559,440,34,35,70.0,5,1,1,1,8,2
022,606,444,50,25,86.0,5,1,1,1,8,3
-,668,458,6,4,91.0,5,1,1,1,8,4
3090,686,444,67,25,93.0,5,1,1,1,8,5
0000,764,444,69,25,83.0,5,1,1,1,8,6
/,843,444,11,29,83.0,5,1,1,1,8,7
6712,865,444,67,25,69.0,5,1,1,1,8,8
3400,943,444,69,25,69.0,5,1,1,1,8,9
(9870666333,1050,437,216,35,51.0,5,1,1,1,8,10
i,1316,447,35,22,17.0,5,1,1,1,8,11
wellness@thyrocare.com,1365,443,354,33,62.0,5,1,1,1,8,12
€P,1750,441,35,34,22.0,5,1,1,1,8,13
wwve.thyrocare.com,1794,444,282,32,21.0,5,1,1,1,8,14
