text,left,top,width,height,confidence,level,page_num,block_num,par_num,line_num,word_num
RO,1427,94,109,34,33.0,5,1,1,1,1,1
BE,1597,98,75,30,43.0,5,1,1,1,1,2
ism,1412,114,134,64,33.0,5,1,1,1,2,1
(Ss),1571,113,117,80,40.0,5,1,1,1,2,2
Lewes,1414,175,132,26,15.0,5,1,1,1,3,1
REZ,1583,179,92,21,48.0,5,1,1,1,3,2
MC-3003,1561,248,110,20,91.0,5,1,1,1,4,1
PATIENT,168,328,162,24,95.0,5,1,1,1,5,1
NAME,345,328,104,24,87.0,5,1,1,1,5,2
:,465,334,7,18,80.0,5,1,1,1,5,3
FARKHUNDA,501,327,233,26,87.0,5,1,1,1,5,4
JABEEN,746,328,140,24,91.0,5,1,1,1,5,5
REF.,1444,328,77,24,96.0,5,1,1,1,5,6
DOCTOR:,1538,327,176,26,95.0,5,1,1,1,5,7
CODE/NAME,167,380,202,27,92.0,5,1,1,1,6,1
&,382,380,24,22,92.0,5,1,1,1,6,2
ADDRESS,416,380,154,22,93.0,5,1,1,1,6,3
:C000138482,593,381,228,26,61.0,5,1,1,1,6,4
IACCESSION,1073,384,181,34,12.0,5,1,1,1,6,5
NO,1269,388,41,23,93.0,5,1,1,1,6,6
:,1327,394,4,16,89.0,5,1,1,1,6,7
0042WB003997,1345,384,296,26,87.0,5,1,1,1,6,8
1AGE/SEX,1747,384,144,34,37.0,5,1,1,1,6,9
:42,1938,383,52,25,73.0,5,1,1,1,6,10
Years,2004,383,90,26,96.0,5,1,1,1,6,11
Female,2188,382,115,27,96.0,5,1,1,1,6,12
RELEX,168,428,102,25,92.0,5,1,1,1,7,1
HEALTHCARE,287,428,215,26,96.0,5,1,1,1,7,2
SERVICES,516,428,168,26,96.0,5,1,1,1,7,3
INDIA,699,428,100,25,96.0,5,1,1,1,7,4
PVT,814,428,61,25,90.0,5,1,1,1,7,5
LTD,885,428,56,25,81.0,5,1,1,1,7,6
iPATIENTID,1073,434,171,34,44.0,5,1,1,1,7,7
—_:,1322,450,4,16,5.0,5,1,1,1,7,8
FARKF24028142,1346,446,269,26,92.0,5,1,1,1,7,9
DRAWN,1747,434,122,34,20.0,5,1,1,1,7,10
—:,1900,422,42,61,2.0,5,1,1,1,7,11
24/02/2023,1951,439,196,31,2.0,5,1,1,1,7,12
00:00:00,2163,440,153,26,96.0,5,1,1,1,7,13
PLOT,168,475,83,26,93.0,5,1,1,1,8,1
"63/A,",265,474,88,32,92.0,5,1,1,1,8,2
GROUND,369,475,147,26,95.0,5,1,1,1,8,3
"FLOOR,",533,475,117,31,93.0,5,1,1,1,8,4
RAGHAVENDRA,670,475,257,26,91.0,5,1,1,1,8,5
i,1073,471,4,34,81.0,5,1,1,1,8,6
i,1747,471,4,34,81.0,5,1,1,1,8,7
“ace,2209,506,62,5,23.0,5,1,1,1,8,8
"NILAYAM,",168,516,158,31,92.0,5,1,1,1,9,1
7TH,344,516,58,25,93.0,5,1,1,1,9,2
"PHASE,KPHB",423,516,211,31,92.0,5,1,1,1,9,3
"COLONY,",649,516,147,31,96.0,5,1,1,1,9,4
{CLIENT,1073,503,115,52,55.0,5,1,1,1,9,5
PATIENT,1197,495,100,42,96.0,5,1,1,1,9,6
ID:,1319,503,49,22,96.0,5,1,1,1,9,7
{,1747,509,4,46,43.0,5,1,1,1,9,8
RECEIVED,1775,495,134,64,96.0,5,1,1,1,9,9
:,1936,521,4,4,61.0,5,1,1,1,9,10
24/02/2023,1951,498,196,31,96.0,5,1,1,1,9,11
11:15:24,2165,499,152,26,96.0,5,1,1,1,9,12
HYDERABAD,168,564,205,25,96.0,5,1,1,1,10,1
500072,390,564,123,26,96.0,5,1,1,1,10,2
LABHA,1073,559,89,46,35.0,5,1,1,1,10,3
NO,1175,564,41,23,96.0,5,1,1,1,10,4
:,1325,570,4,16,90.0,5,1,1,1,10,5
i,1747,559,4,46,63.0,5,1,1,1,10,6
REPORTED,1774,547,140,62,96.0,5,1,1,1,10,7
‘24/02/2023,1940,551,207,31,27.0,5,1,1,1,10,8
15:24:24,2165,552,152,26,95.0,5,1,1,1,10,9
